#HEADER:ProvinceCode,ProvinceName,KabupatenCode,KabupatenName,KecamatanCode,KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
22328,LAMPUNG,23460,LAMPUNG BARAT,23716,BATU KETULIS,3145,4511,7656
22328,LAMPUNG,23460,LAMPUNG BARAT,23695,KEBUN TEBU,3788,6998,10786
22328,LAMPUNG,23460,LAMPUNG BARAT,23584,KARYA PENGGAWA,2485,3268,5753
22328,LAMPUNG,23460,LAMPUNG BARAT,23662,WAY KRUI,2098,2040,4138
22328,LAMPUNG,23460,LAMPUNG BARAT,23552,SUOH,2539,8688,11227
22328,LAMPUNG,23460,LAMPUNG BARAT,23684,AIR HITAM,1855,5112,6967
22328,LAMPUNG,23737,TULANG BAWANG,23862,GEDUNG AJI BARU,5159,5937,11096
22328,LAMPUNG,23460,LAMPUNG BARAT,23477,PESISIR TENGAH,4901,3958,8859
22328,LAMPUNG,23460,LAMPUNG BARAT,23651,KRUI SELATAN,1876,2190,4066
22328,LAMPUNG,23460,LAMPUNG BARAT,23546,SEKINCAU,4000,6367,10367
22328,LAMPUNG,23737,TULANG BAWANG,23738,MENGGALA,13801,8094,21895
22328,LAMPUNG,23460,LAMPUNG BARAT,23611,BENGKUNAT,1693,2637,4330
22328,LAMPUNG,23737,TULANG BAWANG,23833,RAWA PITU,3671,5030,8701
22328,LAMPUNG,23460,LAMPUNG BARAT,23561,BATU BRAK,4509,3365,7874
22328,LAMPUNG,23737,TULANG BAWANG,23853,MERAKSA AJI,2683,4573,7256
22328,LAMPUNG,23460,LAMPUNG BARAT,23505,BALIK BUKIT,9850,9071,18921
22328,LAMPUNG,23737,TULANG BAWANG,23796,PENAWAR TAMA,5193,10065,15258
22328,LAMPUNG,23460,LAMPUNG BARAT,83871,PULAUPISANG,420,483,903
22328,LAMPUNG,23737,TULANG BAWANG,23843,PENAWAR AJI,2945,6682,9627
22328,LAMPUNG,23737,TULANG BAWANG,23879,BANJAR BARU,4256,3655,7911
22328,LAMPUNG,23737,TULANG BAWANG,23867,DENTE TELADAS,11203,16059,27262
22328,LAMPUNG,23737,TULANG BAWANG,23773,GEDUNG MENENG,12145,8936,21081
22328,LAMPUNG,23737,TULANG BAWANG,23785,RAWA JITU SELATAN,7308,8111,15419
22328,LAMPUNG,23737,TULANG BAWANG,23811,RAWA JITU TIMUR,3723,3535,7258
22328,LAMPUNG,23737,TULANG BAWANG,23820,BANJAR MARGO,6913,11789,18702
22328,LAMPUNG,23737,TULANG BAWANG,23890,MENGGALA TIMUR,4136,4044,8180
22328,LAMPUNG,23903,TANGGAMUS,23904,KOTA AGUNG,13219,8682,21901
22328,LAMPUNG,23737,TULANG BAWANG,23760,BANJAR AGUNG,9065,11866,20931
22328,LAMPUNG,23903,TANGGAMUS,24175,AIR NANINGAN,6446,9399,15845
22328,LAMPUNG,23903,TANGGAMUS,24141,GUNUNG ALIP,7502,2452,9954
22328,LAMPUNG,23903,TANGGAMUS,24132,GISTING,11552,10386,21938
22328,LAMPUNG,23903,TANGGAMUS,24120,KOTA AGUNG TIMUR,5999,3851,9850
22328,LAMPUNG,23903,TANGGAMUS,24164,BANDAR NEGERI SEMUONG,4143,2959,7102
22328,LAMPUNG,23903,TANGGAMUS,24080,PEMATANG SAWA,4187,5017,9204
22328,LAMPUNG,23903,TANGGAMUS,24064,ULU BELU,8822,15824,24646
22328,LAMPUNG,23903,TANGGAMUS,24153,LIMAU,5774,5649,11423
22328,LAMPUNG,23903,TANGGAMUS,23920,TALANG PADANG,15246,8169,23415
22328,LAMPUNG,23737,TULANG BAWANG,23749,GEDUNG AJI,2963,4177,7140
22328,LAMPUNG,23903,TANGGAMUS,24185,BULOK,5741,5552,11293
22328,LAMPUNG,24202,LAMPUNG TIMUR,24389,BUMI AGUNG,4028,6537,10565
22328,LAMPUNG,24202,LAMPUNG TIMUR,24396,BANDAR SRIBHAWONO,8520,16946,25466
22328,LAMPUNG,23903,TANGGAMUS,24103,KOTA AGUNG BARAT,7870,2479,10349
